,league_id,date,saison,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal
1860,1729,2009-01-10 00:00:00,2008/2009,10252,8659,2,1
1861,1729,2009-01-10 00:00:00,2008/2009,8668,8667,2,0
1862,1729,2009-01-10 00:00:00,2008/2009,8549,8472,1,1
1863,1729,2009-01-10 00:00:00,2008/2009,10261,8654,2,2
1864,1729,2009-03-11 00:00:00,2008/2009,9879,8655,1,2
1865,1729,2009-02-14 00:00:00,2008/2009,8462,8456,2,0
1866,1729,2009-01-10 00:00:00,2008/2009,10194,8650,0,0
1867,1729,2009-01-11 00:00:00,2008/2009,8528,8586,1,0
1868,1729,2009-01-19 00:00:00,2008/2009,8650,8668,1,1
1869,1729,2009-01-17 00:00:00,2008/2009,8472,10252,1,2
1870,1729,2009-01-18 00:00:00,2008/2009,8586,8462,1,1
1871,1729,2009-01-18 00:00:00,2008/2009,8654,9879,3,1
1872,1729,2009-01-17 00:00:00,2008/2009,8456,8528,1,0
1873,1729,2009-01-17 00:00:00,2008/2009,8655,10261,3,0
1874,1729,2009-01-17 00:00:00,2008/2009,8559,10260,0,1
1875,1729,2009-01-17 00:00:00,2008/2009,8659,8549,3,0
1876,1729,2009-01-17 00:00:00,2008/2009,8667,9825,1,3
1877,1729,2009-01-17 00:00:00,2008/2009,8455,10194,2,1
1878,1729,2009-01-27 00:00:00,2008/2009,8472,9879,1,0
1879,1729,2009-01-27 00:00:00,2008/2009,8586,10194,3,1
1880,1729,2009-01-28 00:00:00,2008/2009,8654,8667,2,0
1881,1729,2009-01-27 00:00:00,2008/2009,8659,10260,0,5
1882,1729,2009-01-27 00:00:00,2008/2009,8462,10252,0,1
1883,1729,2009-01-28 00:00:00,2008/2009,8528,8650,1,1
1884,1729,2009-01-28 00:00:00,2008/2009,8668,9825,1,1
1885,1729,2009-01-28 00:00:00,2008/2009,8456,10261,2,1
1886,1729,2009-01-28 00:00:00,2008/2009,8655,8559,2,2
1887,1729,2009-01-28 00:00:00,2008/2009,8455,8549,2,0
1888,1729,2009-01-31 00:00:00,2008/2009,10260,8668,1,0
